                                     | Core 0    
  Instructions                       |   40121711
  Cycles                             |   20150032
  IPC                                |       1.99
  Time (ns)                          |    7575200
  Idle time (ns)                     |        -43
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   10022008
  num incorrect                      |       1517
  misprediction rate                 |      0.02%
  mpki                               |       0.04
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      15334
    num misses                       |         52
    miss rate                        |      0.34%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |      40247
    num misses                       |         76
    miss rate                        |      0.19%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        128
    num misses                       |        121
    miss rate                        |     94.53%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      15334
    num cache misses                 |          0
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |      40247
    num cache misses                 |          0
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L2                           |           
    num cache accesses               |          0
    num cache misses                 |          0
    miss rate                        |       inf%
    mpki                             |       0.00
  Cache L3                           |           
    num cache accesses               |          0
    num cache misses                 |          0
    miss rate                        |       inf%
    mpki                             |       0.00
DRAM summary                         |           
  num dram accesses                  |          0
  average dram access latency (ns)   |        inf
  average dram queueing delay        |       0.00
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
